country,capital,latitude,longitude,capital-population,area,country-population-1960,country-population-2021
Afghanistan,Kabul,34.5289,69.1725,4011770,652860,8622466,40099462
Albania,Tiranë (Tirana),41.3275,19.8189,475577,27400,1608800,2811666
Algeria,El Djazaïr (Algiers),36.7525,3.042,2693542,2381741,11394307,44177969
American Samoa,Pago Pago,-14.2781,-170.7025,48526,200,20085,45035
Andorra,Andorra la Vella,42.5078,1.5211,22614,470,9443,79034
Angola,Luanda,-8.8368,13.2343,7774200,1246700,5357195,34503774
Anguilla,The Valley,18.217,-63.0578,1402,91,6032,15003
Antigua and Barbuda,St. John's,17.1172,-61.8457,20764,440,55342,93219
Argentina,Buenos Aires,-34.6051,-58.4004,14966530,2736690,20349744,45808747
Armenia,Yerevan,40.182,44.5146,1080324,28470,1904148,2790974
Aruba,Oranjestad,12.524,-70.027,29877,180,54608,106537
Australia,Canberra,-35.2835,149.1281,447692,7692020,10276477,25688079
Austria,Wien (Vienna),48.2064,16.3707,1900547,82520,7047539,8955797
Azerbaijan,Baku,40.3777,49.892,2285729,82654,3894500,10137750
Bahamas,Nassau,25.0582,-77.3431,279668,10010,114500,407906
Bahrain,Al-Manamah (Manama),26.2154,50.5832,564631,780,160691,1463265
Bangladesh,Dhaka,23.7104,90.4074,19578421,130170,50396429,169356251
Barbados,Bridgetown,13.1,-59.6167,89201,430,232550,281200
Belarus,Minsk,53.9,27.5667,2004672,202980,8198000,9340314
Belgium,Bruxelles-Brussel,50.8467,4.3499,2049510,30280,9153489,11592952
Belize,Belmopan,17.25,-88.7667,22964,22810,91403,400031
Benin,Cotonou,6.3654,2.4183,685458,112760,2512284,12996895
Bermuda,Hamilton,32.2915,-64.778,10073,54,44400,63867
Bhutan,Thimphu,27.4661,89.6419,203297,38140,221266,777486
Bolivia,La Paz,-16.5,-68.15,1814087,1083300,3707515,12079472
Bosnia and Herzegovina,Sarajevo,43.8486,18.3564,342577,51200,3262539,3270943
Botswana,Gaborone,-24.6545,25.9086,269338,566730,512865,2588423
Brazil,Brasília,-15.7797,-47.9297,4469585,8358140,73092515,214326223
British Virgin Islands,Road Town,18.4167,-64.6167,15137,150,7850,31122
Brunei Darussalam,Bandar Seri Begawan,4.9403,114.9481,40781,5270,85346,445373
Bulgaria,Sofia,42.6975,23.3242,1272418,108560,7867374,6877743
Burkina Faso,Ouagadougou,12.3642,-1.5383,2531381,273600,4783259,22100683
Burundi,Bujumbura,-3.3822,29.3644,898968,25680,2746628,12551213
Cabo Verde,Praia,14.9215,-23.5087,167504,4033,209849,587925
Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.916,1952329,176520,5541676,16589023
Cameroon,Yaoundé,3.8667,11.5167,3655656,472710,5117608,27198628
Canada,Ottawa-Gatineau,45.4166,-75.698,1363159,8965590,17909356,38246108
Caribbean Netherlands,Kralendijk,12.15,-68.2667,11313,4030,8074,26223
Cayman Islands,George Town,19.2866,-81.3744,34875,240,8473,68136
Central African Republic,Bangui,4.3612,18.555,850946,622980,1679728,5457154
Chad,N'Djaména,12.1067,15.0444,1322679,1259200,3028688,17179740
Channel Islands,St. Helier,49.188,-2.1049,34386,198,109186,172683
Channel Islands,St. Peter Port,49.4598,-2.5353,16271,198,109186,172683
Chile,Santiago,-33.4569,-70.6483,6680371,743532,8141820,19493184
China,Beijing,39.9075,116.3972,19617963,9424703,667070000,1412360000
China - Hong Kong SAR,Hong Kong,22.2796,114.1887,7428887,1106,3114671,7494578
China - Macao SAR,Macao,22.2006,113.5461,632418,32.9,177014,686607
China - Taiwan Province of China,Taibei,25.047,121.5457,2705791,35980,10983147,23859912
Colombia,Bogotá,4.6097,-74.0818,10574409,1109500,15687688,51516562
Comoros,Moroni,-11.7022,43.2551,62351,1861,194852,821625
Congo,Brazzaville,-4.2658,15.2832,2229693,341500,194852,821625
Cook Islands,Rarotonga,-21.23,-159.76,13067,240,1055693,5835806
Costa Rica,San José,9.9278,-84.0807,1357745,51060,1346302,5153957
Côte d'Ivoire,Abidjan,5.3453,-4.0268,4920776,318000,3708661,27478249
Croatia,Zagreb,45.8144,15.978,685587,56590,4140181,3899000
Cuba,La Habana (Havana),23.1195,-82.3785,2136468,103800,7267395,11256372
Curaçao,Willemstad,12.1084,-68.9335,144037,444,124826,152369
